date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:04:39	1444/1444	---M-Z	404	error ('Not%20Found')	text/html	etag:1657263982-ssl-df	https://www.kondammaltrust.org/robots.txt		(from )
18:04:39	85394/85394	---MCZ	200	added ('OK')	text/html	etag:%22e06c7ee1fed3d751dea41e7f487deed0-ssl-df%22	https://www.kondammaltrust.org/	E:/Rishi/WEB-DEVELOPEMENT/intern-1/www.kondammaltrust.org/index.html	(from )
18:04:40	2060/2060	---M--	200	added ('OK')	image/png	etag:%229b78134c47ec98005d16d5b9b3b2997c-ssl%22	https://www.kondammaltrust.org/images/favicon.png	E:/Rishi/WEB-DEVELOPEMENT/intern-1/www.kondammaltrust.org/images/favicon.png	(from https://www.kondammaltrust.org/)
18:04:40	2060/2060	---M--	200	added ('OK')	image/png	etag:%226976c36379d0fc72eac4ca3ea8b19c69-ssl%22	https://www.kondammaltrust.org/images/apple-touch-icon.png	E:/Rishi/WEB-DEVELOPEMENT/intern-1/www.kondammaltrust.org/images/apple-touch-icon.png	(from https://www.kondammaltrust.org/)
18:04:41	3438/3438	---M--	200	added ('OK')	image/png	etag:%22c6f8eeaa1573fc4b4f1b44fe0c1c71eb-ssl%22	https://www.kondammaltrust.org/images/apple-touch-icon-72x72.png	E:/Rishi/WEB-DEVELOPEMENT/intern-1/www.kondammaltrust.org/images/apple-touch-icon-72x72.png	(from https://www.kondammaltrust.org/)
18:04:42	5233/5233	---M--	200	added ('OK')	image/png	etag:%227c29b063b8603a7d47f026cb9dfefb42-ssl%22	https://www.kondammaltrust.org/images/apple-touch-icon-114x114.png	E:/Rishi/WEB-DEVELOPEMENT/intern-1/www.kondammaltrust.org/images/apple-touch-icon-114x114.png	(from https://www.kondammaltrust.org/)
18:04:42	6091/6091	---M--	200	added ('OK')	image/png	etag:%229a85b442fef57b4d25d55f40c023018b-ssl%22	https://www.kondammaltrust.org/images/apple-touch-icon-144x144.png	E:/Rishi/WEB-DEVELOPEMENT/intern-1/www.kondammaltrust.org/images/apple-touch-icon-144x144.png	(from https://www.kondammaltrust.org/)
18:04:43	153088/153088	---MCZ	200	added ('OK')	text/css	etag:%2259cee947eda49ea1fdbf7dab5b23d3c1-ssl-df%22	https://www.kondammaltrust.org/css/bootstrap.min.css	E:/Rishi/WEB-DEVELOPEMENT/intern-1/www.kondammaltrust.org/css/bootstrap.min.css	(from https://www.kondammaltrust.org/)
18:04:43	16952/16952	---MCZ	200	added ('OK')	text/css	etag:%22b919cbcdbad3f0170d564915ff5159fe-ssl-df%22	https://www.kondammaltrust.org/css/animate.min.css	E:/Rishi/WEB-DEVELOPEMENT/intern-1/www.kondammaltrust.org/css/animate.min.css	(from https://www.kondammaltrust.org/)
18:04:44	159913/159913	---MCZ	200	added ('OK')	text/css	etag:%2218066f8f4ef1031e05fdc154277425a3-ssl-df%22	https://www.kondammaltrust.org/css/javascript-plugins-bundle.css	E:/Rishi/WEB-DEVELOPEMENT/intern-1/www.kondammaltrust.org/css/javascript-plugins-bundle.css	(from https://www.kondammaltrust.org/)
18:04:44	13741/13741	---MCZ	200	added ('OK')	text/css	etag:%22d136c787775315575a194bb695985865-ssl-df%22	https://www.kondammaltrust.org/js/menuzord/css/menuzord.css	E:/Rishi/WEB-DEVELOPEMENT/intern-1/www.kondammaltrust.org/js/menuzord/css/menuzord.css	(from https://www.kondammaltrust.org/)
18:04:45	5285/5285	---MCZ	200	added ('OK')	text/css	etag:%2274909e902e08cbd934c4f2529d66bcad-ssl-df%22	https://www.kondammaltrust.org/js/timeline-cp-responsive-vertical/timeline-cp-responsive-vertical.css	E:/Rishi/WEB-DEVELOPEMENT/intern-1/www.kondammaltrust.org/js/timeline-cp-responsive-vertical/timeline-cp-responsive-vertical.css	(from https://www.kondammaltrust.org/)
18:04:46	3361/3361	---M-Z	200	added ('OK')	text/css	etag:%2297b5e31fcac046256d847c7eb7d2f84b-ssl-df%22	https://www.kondammaltrust.org/css/menuzord-skins/menuzord-rounded-boxed.css	E:/Rishi/WEB-DEVELOPEMENT/intern-1/www.kondammaltrust.org/css/menuzord-skins/menuzord-rounded-boxed.css	(from https://www.kondammaltrust.org/)
18:04:46	739754/739754	---MCZ	200	added ('OK')	text/css	etag:%222b41ff9ab972062bd4f323a980694bd2-ssl-df%22	https://www.kondammaltrust.org/css/style-main.css	E:/Rishi/WEB-DEVELOPEMENT/intern-1/www.kondammaltrust.org/css/style-main.css	(from https://www.kondammaltrust.org/)
